url,sub_job_title,industry,job_value_avg,job_value_range_low,job_value_range_high,job_value_sample_n,job_value_template,lead_cost_low,lead_cost_high,lead_cost_note
https://www.homeadvisor.com/cost/additions-and-remodels/build-wet-bar/,How Much Does It Cost to Build a Bar in Your Home in 2024?,Remodeling/general contracting,11500,500,22500,-1,"B (range-only, avgCost is a midpoint estimate)",90,150,
https://www.homeadvisor.com/cost/outdoor-living/tar-and-chip-driveway/,Tar and Chip Driveway Cost,,1600,360,2900,0,A,,,
https://www.homeadvisor.com/cost/additions-and-remodels/build-in-law-suite/,In-Law Suite Cost,Remodeling/general contracting,82750,25000,265000,0,A,90,150,
https://www.homeadvisor.com/cost/siding/stucco-crack-repair/,Stucco Repair Cost,Siding,1629,601,2659,3350,A,105,105,
https://www.homeadvisor.com/cost/plumbing/remove-a-water-or-fuel-storage-tank/,Oil Tank Removal Cost,Plumbing,1357,593,2155,807,A,5,255,
https://www.homeadvisor.com/cost/additions-and-remodels/build-a-pool-house/,Pool House Cost,Remodeling/general contracting,72000,15000,120000,0,A,90,150,
https://www.homeadvisor.com/cost/outdoor-living/aluminum-deck/,How Much Does an Aluminum Deck Cost?,,12500,3000,22000,-1,"B (range-only, avgCost is a midpoint estimate)",,,
https://www.homeadvisor.com/cost/siding/stucco-siding/,Cost to Stucco a House,Siding,5729,2205,9261,779,A,105,105,
https://www.homeadvisor.com/cost/swimming-pools-hot-tubs-and-saunas/install-replace-pool-pump/,Pool Pump Replacement Cost,,1300,700,4000,0,A,,,
https://www.homeadvisor.com/cost/roofing/add-a-dormer/,Dormer Addition Cost,Roofing,15000,6000,25000,0,A,15,550,
https://www.homeadvisor.com/cost/landscape/trenching/,Trenching Cost,Landscaping/lawn care,950,400,1200,0,A,8,45,
https://www.homeadvisor.com/cost/heating-and-cooling/home-ac-recharge-freon-refill/,AC Recharge Cost,HVAC (AC/Heating),600,200,500,0,A,10,325,
https://www.homeadvisor.com/cost/environmental-safety/bee-removal/,Bee Removal Cost,Pest control,280,150,500,0,A,40,195,
https://www.homeadvisor.com/cost/lawn-and-garden/seed-a-lawn/,Lawn Reseeding Costs,Landscaping/lawn care,1104,591,1616,1203,A,8,45,
https://www.homeadvisor.com/cost/garages/repair-a-garage-door/,Garage Door Repair Cost,Garage door,302,194,430,42767,A,,,Industry tracked but no lead-cost data found
https://www.homeadvisor.com/cost/doors-and-windows/bay-window-price-guide/,Bay Window Cost,Window replacement,2500,2000,4000,0,A,30,350,
https://www.homeadvisor.com/cost/heating-and-cooling/install-replace-chimney-cap/,Chimney Cap Cost,HVAC (AC/Heating),300,75,500,0,A,10,325,
https://www.homeadvisor.com/cost/outdoor-living/repair-a-tennis-court/,Tennis Court Resurfacing Cost,,7541,2467,12615,26,A,,,
https://www.homeadvisor.com/cost/doors-and-windows/exterior-door/,Exterior Door Installation Cost,Door installation,3002,1409,4718,8712,A,10,60,
https://www.homeadvisor.com/cost/doors-and-windows/install-window-treatments/,Window Treatment Cost,Window replacement,732,66,1397,2899,A,30,350,
https://www.homeadvisor.com/cost/heating-and-cooling/repair-solar-panels/,Solar Panel Repair Cost,HVAC (AC/Heating),860,237,1483,786,A,10,325,
https://www.homeadvisor.com/cost/heating-and-cooling/fabricate-sheet-metal/,Sheet Metal Cost,HVAC (AC/Heating),1564,422,3018,125,A,10,325,
https://www.homeadvisor.com/cost/flooring/polished-concrete-floor-cost/,Polished Concrete Floors Cost,Flooring,4500,1000,8000,0,A,85,85,
https://www.homeadvisor.com/cost/heating-and-cooling/repair-pellet-stove/,How Much Does Pellet Stove Repair Cost?,HVAC (AC/Heating),475,150,800,-1,"B (range-only, avgCost is a midpoint estimate)",10,325,
https://www.homeadvisor.com/cost/plumbing/repair-a-toilet/,Toilet Repair Cost,Plumbing,309,179,446,5094,A,5,255,
https://www.homeadvisor.com/cost/fencing/privacy-fence/,Privacy Fence Cost,Fencing,4300,1800,8000,0,A,55,175,
https://www.homeadvisor.com/cost/heating-and-cooling/dehumidifier/,Whole-House Dehumidifier Cost,HVAC (AC/Heating),1500,1300,2800,0,A,10,325,
https://www.homeadvisor.com/cost/heating-and-cooling/roof-ridge-vent-installation/,Ridge Vent Cost,HVAC (AC/Heating),500,300,650,0,A,10,325,
https://www.homeadvisor.com/cost/heating-and-cooling/electric-furnace-prices/,Electric Furnace Cost,HVAC (AC/Heating),7239,5633,8845,352,A,10,325,
https://www.homeadvisor.com/cost/foundations/concrete-footing/,Concrete Footings Cost,,750,500,2175,0,A,,,
https://www.homeadvisor.com/cost/heating-and-cooling/repair-a-swamp-cooler/,Swamp Cooler Repair Cost,HVAC (AC/Heating),198,103,300,1227,A,10,325,
https://www.homeadvisor.com/cost/garages/install-a-concrete-driveway/,Concrete Driveway Cost,,6400,2700,14500,0,A,,,
https://www.homeadvisor.com/cost/electrical/install-a-switch/,Light Switch Replacement Cost,Electrical,147,110,188,1510,A,10,175,
https://www.homeadvisor.com/cost/heating-and-cooling/replace-heat-exchanger/,Replace a Heat Exchanger Cost,HVAC (AC/Heating),1750,1250,3000,0,A,10,325,
https://www.homeadvisor.com/cost/garages/build-rv-garage/,RV Garage Cost,,90000,36000,140000,0,A,,,
https://www.homeadvisor.com/cost/fencing/install-a-vinyl-or-pvc-fence/,Vinyl Fence Installation Cost,Fencing,6427,5880,7521,10,A,55,175,
https://www.homeadvisor.com/cost/gutters/gutter-guards/,Gutter Guard Installation Cost,Gutters,956,420,1498,3214,A,65,65,
https://www.homeadvisor.com/cost/doors-and-windows/install-double-pane-windows/,Double-Pane Windows Cost,Window replacement,1000,300,2100,0,A,30,350,
